t, x, y, z, x', y', z', x'', y'', z''
7760.0, -19004767.780169547, 37301618.14288148, -14002717.157253731, -3216.7475457518353, 2742.937415319251, -2370.100312220112, 0.08805669219617572, -0.17283348523370556, 0.0648801905337146
7780.0, -19069085.126620285, 37356442.360009156, -14050106.192524927, -3214.988760850632, 2739.4886532790315, -2368.8044391109547, 0.0878220523071574, -0.17204404608230317, 0.0647073078109297
7800.0, -19133367.344269555, 37411197.759490155, -14097469.344887333, -3213.234660523496, 2736.0556242163593, -2367.5120175970255, 0.08758823416799619, -0.17126017587141337, 0.06453503055362358
7820.0, -19197614.526644386, 37465884.65487323, -14144806.683251785, -3211.4852283482414, 2732.6382172799385, -2366.223035578451, 0.08735523648990132, -0.17048182198279815, 0.06436335781221537
7840.0, -19261826.76694397, 37520503.357500136, -14192118.276287235, -3209.7404479289917, 2729.2363226645884, -2364.937480974721, 0.08712305793036072, -0.1697089324167211, 0.06419228859754084
7860.0, -19326004.1580395, 37575054.17652773, -14239404.192421308, -3208.000302897223, 2725.8498315990214, -2363.655341725542, 0.08689169709481505, -0.16894145578330233, 0.06402182188208877
7880.0, -19390146.792475097, 37629537.4189474, -14286664.499840671, -3206.2647769128553, 2722.478636333713, -2362.3766057915245, 0.0866611525383035, -0.16817934129402004, 0.0638519566012124
7900.0, -19454254.76246858, 37683953.38960535, -14333899.266491266, -3204.533853665148, 2719.1226301289785, -2361.1012611549145, 0.08643142276706325, -0.16742253875334503, 0.06368269165430619
7920.0, -19518328.159911714, 37738302.39122321, -14381108.560079025, -3202.807516873755, 2715.7817072431703, -2359.829295820345, 0.08620250624008356, -0.16667099855050638, 0.06351402590595334
7940.0, -19582367.076370977, 37792584.72441767, -14428292.448070165, -3201.0857502895824, 2712.455762921067, -2358.560697815464, 0.08597440137062626, -0.16592467165139282, 0.06334595818704489
7960.0, -19646371.603088267, 37846800.68772005, -14475450.997691674, -3199.368537695739, 2709.144693382432, -2357.2954551916882, 0.08574710652770663, -0.16518350959058162, 0.06317848729587061
7980.0, -19710341.830981493, 37900950.577595666, -14522584.275931846, -3197.655862908343, 2705.8483958107067, -2356.0335560247345, 0.08552062003753638, -0.16444746446349498, 0.06301161199918279
8000.0, -19774277.8506449, 37955034.68846323, -14569692.34954068, -3195.9477097774657, 2702.5667683418947, -2354.774988415303, 0.08529494018492882, -0.16371648891868174, 0.06284533103323206
